Date;Ticker
21/04/2017;7203.T_sel.csv
22/06/2017;7203.T_sel.csv
15/09/2017;7203.T_sel.csv
08/12/2017;7203.T_sel.csv
28/03/2018;7203.T_sel.csv
11/09/2018;7203.T_sel.csv
05/06/2019;7203.T_sel.csv
07/08/2019;7203.T_sel.csv
04/08/2020;7203.T_sel.csv
02/02/2021;7203.T_sel.csv
10/05/2021;7203.T_sel.csv
15/03/2022;7203.T_sel.csv
20/05/2022;7203.T_sel.csv
31/08/2023;7203.T_sel.csv
05/01/2024;7203.T_sel.csv
07/02/2024;7203.T_sel.csv
19/12/2024;7203.T_sel.csv
01/03/2016;AAPL_sel.csv
30/06/2016;AAPL_sel.csv
13/09/2016;AAPL_sel.csv
16/11/2016;AAPL_sel.csv
01/02/2017;AAPL_sel.csv
03/05/2017;AAPL_sel.csv
10/07/2017;AAPL_sel.csv
27/10/2017;AAPL_sel.csv
13/02/2018;AAPL_sel.csv
01/05/2018;AAPL_sel.csv
02/08/2018;AAPL_sel.csv
11/03/2019;AAPL_sel.csv
07/06/2019;AAPL_sel.csv
11/09/2019;AAPL_sel.csv
13/12/2019;AAPL_sel.csv
06/04/2020;AAPL_sel.csv
30/07/2020;AAPL_sel.csv
01/12/2020;AAPL_sel.csv
14/06/2021;AAPL_sel.csv
15/10/2021;AAPL_sel.csv
16/03/2022;AAPL_sel.csv
05/07/2022;AAPL_sel.csv
06/01/2023;AAPL_sel.csv
14/03/2023;AAPL_sel.csv
30/10/2023;AAPL_sel.csv
07/08/2024;AAPL_sel.csv
14/11/2024;AAPL_sel.csv
30/09/2015;ABT_sel.csv
16/02/2016;ABT_sel.csv
30/06/2016;ABT_sel.csv
04/01/2017;ABT_sel.csv
30/05/2017;ABT_sel.csv
28/08/2017;ABT_sel.csv
18/12/2017;ABT_sel.csv
14/02/2018;ABT_sel.csv
07/05/2018;ABT_sel.csv
06/07/2018;ABT_sel.csv
22/08/2018;ABT_sel.csv
31/01/2019;ABT_sel.csv
05/06/2019;ABT_sel.csv
25/03/2020;ABT_sel.csv
25/01/2021;ABT_sel.csv
28/06/2021;ABT_sel.csv
03/12/2021;ABT_sel.csv
13/05/2022;ABT_sel.csv
03/04/2023;ABT_sel.csv
15/06/2023;ABT_sel.csv
16/11/2023;ABT_sel.csv
15/02/2024;ABT_sel.csv
01/08/2024;ABT_sel.csv
22/01/2025;ABT_sel.csv
15/02/2016;ACA.PA_sel.csv
05/10/2016;ACA.PA_sel.csv
06/12/2016;ACA.PA_sel.csv
20/04/2017;ACA.PA_sel.csv
03/01/2018;ACA.PA_sel.csv
24/07/2018;ACA.PA_sel.csv
04/09/2018;ACA.PA_sel.csv
04/01/2019;ACA.PA_sel.csv
18/02/2019;ACA.PA_sel.csv
01/04/2019;ACA.PA_sel.csv
30/08/2019;ACA.PA_sel.csv
11/10/2019;ACA.PA_sel.csv
09/11/2020;ACA.PA_sel.csv
