Date;Open;High;Low;Close;Volume;Dividends;Stock Splits;HMA_20;HMA_30;MACD;RSI_14;ATR_14;OBV;ADX_14;Kon_Azul;Kon_Marron;Kon_Verde;Kon_Media
2015-07-31 00:00:00-04:00;39,13999938964844;39,20000076293945;38,220001220703125;38,70000076293945;12480600;0,0;0,0;;;0,0;0,0;0,9799995422363281;12480600,0;0,0;0,0;;;
2015-08-03 00:00:00-04:00;39,25;39,880001068115234;38,900001525878906;39,38999938964844;15126600;0,0;0,0;;;0,05504262549245453;99,99999997101443;0,9942853110177177;27607200,0;7,142857142857142;0,0;119,59614313023124;819,5961431303128;119,59614313023124
2015-08-04 00:00:00-04:00;39,90999984741211;39,90999984741211;38,43000030517578;38,95000076293945;10992200;0,0;0,0;;;0,062440317687908475;61,06197378992782;1,02897918467619;16615000,0;7,679523448138308;-700,0000000000163;91,1774507572621;536,6319962118265;116,0438065836101
2015-08-05 00:00:00-04:00;39,70000076293945;39,880001068115234;39,16999816894531;39,27000045776367;9463100;0,0;0,0;;;0,09305170098726734;69,6552032580214;1,021909264711875;26078100,0;8,17785644589939;-90,09817224190174;103,70776827433815;422,2836196675555;114,5018017949511
2015-08-06 00:00:00-04:00;39,630001068115234;39,7400016784668;38,54999923706055;38,849998474121094;7324100;0,0;0,0;;;0,08247012851258262;54,01063627962766;1,0339159201900447;18754000,0;9,781623034950831;-339,97576414070886;71,23980756524098;314,01028279275897;109,09405251623734
2015-08-07 00:00:00-04:00;39,040000915527344;39,22999954223633;38,599998474121094;39,130001068115234;8331300;0,0;0,0;;;0,09557628146770014;60,0;1,0050648593275584;27085300,0;11,270834867641454;-208,76148632675415;52,951815337780126;264,3226414949578;102,07627286893019
2015-08-10 00:00:00-04:00;39,43000030517578;39,689998626708984;38,77000045776367;39,04999923706055;7998900;0,0;0,0;;;0,09837353408096305;57,84748760652911;0,998988667157398;19086400,0;10,64469137037221;-168,78019899932016;70,40367049398728;249,2119846160009;98,11719757206232
2015-08-11 00:00:00-04:00;38,93000030517578;39,279998779296875;38,720001220703125;38,849998474121094;8184000;0,0;0,0;;;0,0834895710325867;53,08636742536628;0,9676321594028517;10902400,0;9,916568985608155;-121,9535034072319;47,24242348616989;189,50880916504983;91,75785081132577
2015-08-12 00:00:00-04:00;38,54999923706055;38,58000183105469;37,0099983215332;38,189998626708984;21350600;0,0;0,0;;;0,01822733784177899;41,74754884411118;1,0299441589160687;-10448200,0;12,902780604906631;-92,59409728318317;15,929795599216767;106,04518182010588;82,27934390981214
2015-08-13 00:00:00-04:00;38,400001525878906;38,4900016784668;37,439998626708984;37,619998931884766;7863500;0,0;0,0;;;-0,07858182151410631;35,24589138754784;1,0313769369761934;-18311700,0;15,675691394255217;-177,86198945032802;18,052891757300003;75,68396203060149;74,25103739074812
